Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent), Offsets
IDENTIFIER, Mileage, int, 8, 3, 0, -4
IDENTIFIER, Mileage, int, 25, 7, 0, 0
IDENTIFIER, Model, int, 8, 3, 0, -12
IDENTIFIER, Year, int, 8, 3, 0, -8
IDENTIFIER, a, int, 28, 8, 0, -4
IDENTIFIER, a, int, 32, 9, 0, 0
IDENTIFIER, a, int, 35, 10, 0, -4
IDENTIFIER, a, int, 42, 11, 0, 0
IDENTIFIER, args, String, 40, 11, 1, 0
IDENTIFIER, b, int, 45, 11, 0, 4
IDENTIFIER, bit, int, 73, 11, 0, 16
IDENTIFIER, c, int, 47, 11, 0, 8
identifier - field ofCar, car_number, int, 3, -1, 0, 0
IDENTIFIER, e, int, 50, 11, 0, 12
identifier - method ofCar, fn, int, 28, -1, 0, 0
identifier - method ofCar, fn, int, 28, 0, 0, 0
identifier - method ofCar, getMileage, int, 22, -1, 0, 0
identifier - method ofCar, getModel, int, 15, -2, 0, 0
identifier - method ofCar, getModel, int, 15, -1, 0, 0
identifier - method ofCar, getYear, int, 18, -3, 0, 0
identifier - method ofCar, getYear, int, 18, -1, 0, 0
IDENTIFIER, i, int, 95, 13, 0, 20
IDENTIFIER, j, int, 97, 15, 0, 24
IDENTIFIER, l, int, 105, 18, 0, 24
identifier - method ofCar, main, void, 40, -4, 0, 0
identifier - method ofCar, main, void, 40, -1, 0, 0
identifier - field ofCar, mileage, int, 6, -1, 0, 0
identifier - field ofCar, model, int, 4, -1, 0, 0
IDENTIFIER, myCar, Car, 118, 11, 0, 24
IDENTIFIER, myCar2, Car, 125, 11, 0, 28
identifier - method ofCar, pr, void, 32, -5, 0, 0
identifier - method ofCar, pr, void, 32, -1, 0, 0
identifier - method ofCar, setMileage, void, 25, -6, 0, 0
identifier - method ofCar, setMileage, void, 25, -1, 0, 0
identifier - method ofCar, wert, int, 35, -7, 0, 0
identifier - method ofCar, wert, int, 35, -1, 0, 0
IDENTIFIER, y, int, 115, 11, 0, 20
identifier - field ofCar, year, int, 5, -1, 0, 0
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 2, 
, , , , , , 5, 2, 
, , , , , , 6, 2, 
, , , , , , 7, 2, 
, , , , , , 8, 2, 
, , , , , , 9, 2, 
, , , , , , 10, 2, 
, , , , , , 11, 2, 
, , , , , , 12, 11, 
, , , , , , 13, 11, 
, , , , , , 14, 13, 
, , , , , , 15, 14, 
, , , , , , 16, 15, 
, , , , , , 17, 14, 
, , , , , , 18, 17, 
, , , , , , 19, 18, 
