Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent), Offsets
IDENTIFIER, a, int, 4, 3, 0, -8
identifier - field ofEuclidsAlgorithm, a1, int, 2, -1, 0, 0
identifier - field ofE2, aa, int, 12, -1, 0, 0
IDENTIFIER, args, String, 15, 5, 1, 0
IDENTIFIER, b, int, 4, 3, 0, -4
identifier - field ofEuclidsAlgorithm, b1, int, 3, -1, 0, 0
identifier - field ofE2, bb, int, 13, -1, 0, 0
IDENTIFIER, e2, E2, 16, 5, 0, 0
IDENTIFIER, euclidsAlgorithm, EuclidsAlgorithm, 17, 5, 0, 4
identifier - method ofEuclidsAlgorithm, f1, int, 4, -1, 0, 0
identifier - method ofEuclidsAlgorithm, f1, int, 4, 0, 0, 0
identifier - method ofE2, main, void, 15, -1, 0, 0
identifier - method ofE2, main, void, 15, 0, 0, 0
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 0, 
, , , , , , 5, 4, 
