Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent), Offsets
IDENTIFIER, a, int, 16, 4, 0, 20
IDENTIFIER, args, String, 10, 4, 1, 0
IDENTIFIER, arr, int, 13, 4, 1, 0
IDENTIFIER, b, int, 17, 4, 0, 24
IDENTIFIER, d, int, 18, 4, 0, 28
IDENTIFIER, e, int, 26, 4, 0, 32
IDENTIFIER, e, int, 20, 5, 0, 32
IDENTIFIER, e, int, 23, 6, 0, 32
IDENTIFIER, f, int, 25, 7, 0, 32
identifier - method offunctionandIfElse, function1, int, 3, -1, 0, 0
identifier - method offunctionandIfElse, function1, int, 3, 0, 0, 0
IDENTIFIER, j, int, 4, 3, 0, 0
IDENTIFIER, k, int, 5, 3, 0, 4
identifier - method offunctionandIfElse, main, void, 10, -1, 0, 0
IDENTIFIER, n, int, 27, 4, 0, 36
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 2, 
, , , , , , 5, 4, 
, , , , , , 6, 4, 
, , , , , , 7, 4, 
, , , , , , 8, 4, 
, , , , , , 9, 4, 
